Health_Metric,School_Metric,R_Squared,File,N_Counties
% Rural,SCHOOLS_PER_10K,0.8327846193636884,demographics.csv,13
Drug Overdose Mortality Rate (Hispanic),MIDDLE_PER_10K,0.773624434783397,drug_overdose_deaths.csv,10
Infant Mortality Rate,SCHOOLS_PER_10K,0.7524430768132274,infant_mortality.csv,12
YPLL Rate (Hispanic),MIDDLE_PER_10K,0.7488015902675038,premature_death.csv,12
% Rural,PRIMARY_PER_10K,0.7453377846864364,demographics.csv,13
Infant Mortality Rate,PRIMARY_PER_10K,0.7237700036944328,infant_mortality.csv,12
% Rural,MIDDLE_PER_10K,0.690624309993295,demographics.csv,13
% Limited Access to Healthy Foods,PRIMARY_PER_10K,0.6870598777482246,limited_access_to_healthy_foods.csv,13
Infant Mortality Rate,MIDDLE_PER_10K,0.6866897839194903,infant_mortality.csv,12
% Vaccinated (White),MIDDLE_PER_10K,0.684722153803897,flu_vaccinations.csv,13
% With Annual Mammogram,SCHOOLS_PER_10K,0.6820640439772829,mammography_screening.csv,13
% Screened (White),SCHOOLS_PER_10K,0.6785351445922585,mammography_screening.csv,13
Child Mortality Rate,MIDDLE_PER_10K,0.6753595521772504,child_mortality.csv,12
MV Mortality Rate (Hispanic),MIDDLE_PER_10K,0.6690379769927852,motor_vehicle_crash_deaths.csv,11
% With Annual Mammogram,PRIMARY_PER_10K,0.6669334713364019,mammography_screening.csv,13
% Limited Access to Healthy Foods,SCHOOLS_PER_10K,0.666240415734551,limited_access_to_healthy_foods.csv,13
% Vaccinated (Asian),PRIMARY_PER_10K,0.6633554070254705,flu_vaccinations.csv,10
% Severe Housing Cost Burden,MIDDLE_PER_10K,0.6556232828249107,severe_housing_cost_burden.csv,13
MV Mortality Rate (Hispanic),SCHOOLS_PER_10K,0.6553365660623915,motor_vehicle_crash_deaths.csv,11
% Screened (White),MIDDLE_PER_10K,0.6551981454722333,mammography_screening.csv,13
% American Indian & Alaska Native,PRIMARY_PER_10K,0.6496781132923735,demographics.csv,13
% Limited Access to Healthy Foods,MIDDLE_PER_10K,0.646849746064057,limited_access_to_healthy_foods.csv,13
% Screened (White),PRIMARY_PER_10K,0.6401572447314643,mammography_screening.csv,13
% Frequent Physical Distress,COLLEGE_PER_10K,0.633733147368499,frequent_physical_distress.csv,12
MV Mortality Rate (Hispanic),PRIMARY_PER_10K,0.6275291395207875,motor_vehicle_crash_deaths.csv,11
% Children in Poverty,COLLEGE_PER_10K,0.6223453963704351,children_in_poverty.csv,12
Motor Vehicle Mortality Rate,PRIMARY_PER_10K,0.6210216381821136,motor_vehicle_crash_deaths.csv,13
Child Mortality Rate (White),COLLEGE_PER_10K,0.6165310654795493,child_mortality.csv,10
% LBW (Hispanic),PRIMARY_PER_10K,0.6081043502454004,low_birthweight.csv,13
% Food Insecure,COLLEGE_PER_10K,0.5933298858821896,food_insecurity.csv,12
% Frequent Physical Distress,PRIMARY_PER_10K,0.5915847738788347,frequent_physical_distress.csv,13
